window_id,target_name,target_pair,target_set,was_in_original_v9_1_f,score_group,object,n_bootstrap_group,n_valid_peak,missing_peak_fraction,mean_peak_day,median_peak_day,q25_peak_day,q75_peak_day,std_peak_day,min_peak_day,max_peak_day,permutation_level,signflip_level,mode_stability_status,extreme_year_dominated_flag
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,low,P,333,333,0.0,44.28228228228228,45.0,44.0,45.0,1.9102335893444644,35.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,low,V,333,333,0.0,45.04504504504504,45.0,44.0,46.0,1.8743065579744518,40.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,mid,H,333,333,0.0,38.75675675675676,36.0,34.0,45.0,7.004580536037489,20.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,mid,Je,333,333,0.0,46.0960960960961,46.0,45.0,47.0,2.1972908599609307,30.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,mid,Jw,333,333,0.0,42.768768768768766,42.0,40.0,45.0,3.2686882502150554,32.0,50.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,mid,P,333,333,0.0,44.04504504504504,45.0,42.0,45.0,2.1201303696021645,35.0,50.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,mid,V,333,333,0.0,45.06006006006006,45.0,44.0,46.0,1.9763654718471566,37.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,high,H,334,334,0.0,40.88922155688623,37.0,33.0,47.0,8.38361429106777,24.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,high,Je,334,334,0.0,45.293413173652695,45.0,44.0,46.0,1.7885568099472031,33.0,56.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,high,Jw,334,334,0.0,42.97904191616767,42.0,40.0,45.0,3.304766460977405,34.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,high,P,334,334,0.0,42.74251497005988,43.0,41.0,45.0,2.2673132937129123,31.0,47.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,high,V,334,334,0.0,44.296407185628745,45.0,43.0,45.0,1.932537649733091,37.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,low,H,333,333,0.0,37.88288288288288,36.0,35.0,38.0,5.44258986467265,23.0,57.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,low,Je,333,333,0.0,46.888888888888886,47.0,46.0,48.0,2.6279824645538787,22.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,low,Jw,333,333,0.0,43.1051051051051,42.0,40.0,46.0,3.6269246329551033,33.0,50.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,low,P,333,333,0.0,45.090090090090094,45.0,45.0,46.0,1.6031757802002795,39.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,low,V,333,333,0.0,45.9009009009009,46.0,45.0,47.0,1.7577108347802846,40.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,mid,H,333,333,0.0,37.84384384384384,36.0,34.0,40.0,6.54867775669898,20.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,mid,Je,333,333,0.0,45.95795795795796,46.0,45.0,47.0,1.9707281170877313,30.0,57.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,mid,Jw,333,333,0.0,43.01801801801802,42.0,40.0,46.0,3.4683994659058612,32.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,mid,P,333,333,0.0,44.171171171171174,45.0,44.0,45.0,1.886255967792777,35.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,mid,V,333,333,0.0,45.153153153153156,45.0,44.0,46.0,1.7452078872864847,37.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,high,H,334,334,0.0,38.52994011976048,36.0,34.0,40.0,6.817483397580332,23.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,high,Je,334,334,0.0,46.778443113772454,47.0,46.0,48.0,2.209456056889299,34.0,56.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,high,Jw,334,334,0.0,42.91916167664671,42.0,40.0,46.0,3.635335990465249,37.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,high,P,334,334,0.0,43.06586826347306,44.0,41.0,45.0,2.229040447350991,34.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,high,V,334,334,0.0,44.47604790419162,45.0,44.0,45.0,1.6212815003582821,37.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,low,H,333,333,0.0,39.97597597597598,36.0,34.0,47.0,7.492125948509995,20.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,low,Je,333,333,0.0,45.393393393393396,46.0,45.0,46.0,1.6238670429221573,30.0,53.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,low,Jw,333,333,0.0,43.28228228228228,43.0,41.0,46.0,3.380251588209785,33.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,low,P,333,333,0.0,45.01501501501502,45.0,44.0,46.0,1.68884087729129,40.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,low,V,333,333,0.0,45.84384384384384,46.0,45.0,47.0,1.948029495490467,40.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,mid,H,333,333,0.0,38.11711711711712,36.0,34.0,39.0,6.6691233398239405,24.0,57.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,mid,Je,333,333,0.0,45.96396396396396,46.0,45.0,47.0,2.6041946975588974,22.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,mid,Jw,333,333,0.0,42.9009009009009,42.0,40.0,45.0,3.372340420068011,32.0,50.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,mid,P,333,333,0.0,43.92192192192192,45.0,43.0,45.0,2.0840544719556213,31.0,48.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,mid,V,333,333,0.0,45.030030030030034,45.0,44.0,46.0,1.9478901929818215,37.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Jw_delta_peak,P-Jw,original_priority,True,high,H,334,334,0.0,38.98802395209581,36.0,34.0,44.0,7.242258390448326,20.0,57.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Jw_delta_peak,P-Jw,original_priority,True,high,Je,334,334,0.0,45.703592814371255,46.0,45.0,47.0,2.9417037047525403,22.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Jw_delta_peak,P-Jw,original_priority,True,high,Jw,334,334,0.0,45.66766467065868,46.0,44.0,48.0,3.0343928346877806,34.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Jw_delta_peak,P-Jw,original_priority,True,high,P,334,334,0.0,43.29940119760479,44.0,41.25,45.0,2.381144575662883,31.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Jw_delta_peak,P-Jw,original_priority,True,high,V,334,334,0.0,44.98502994011976,45.0,44.0,46.0,1.854242072320807,37.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Jw_delta_peak,P-Jw,original_priority,True,low,H,333,333,0.0,39.3993993993994,36.0,34.0,46.0,6.698741088317483,26.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Jw_delta_peak,P-Jw,original_priority,True,low,Je,333,333,0.0,46.38138138138138,46.0,45.0,47.0,1.6174542735427488,34.0,53.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Jw_delta_peak,P-Jw,original_priority,True,low,Jw,333,333,0.0,40.84384384384384,41.0,39.0,42.0,2.2694141539277997,33.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Jw_delta_peak,P-Jw,original_priority,True,low,P,333,333,0.0,44.6036036036036,45.0,44.0,46.0,1.7247975921721592,37.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Jw_delta_peak,P-Jw,original_priority,True,low,V,333,333,0.0,45.26126126126126,45.0,44.0,46.0,1.9405860733404698,40.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Jw_delta_peak,P-Jw,original_priority,True,mid,H,333,333,0.0,38.234234234234236,36.0,34.0,43.0,7.138418400333654,20.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Jw_delta_peak,P-Jw,original_priority,True,mid,Je,333,333,0.0,46.054054054054056,46.0,45.0,47.0,1.939620993771463,30.0,53.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Jw_delta_peak,P-Jw,original_priority,True,mid,Jw,333,333,0.0,42.58258258258258,42.0,40.0,45.0,3.125381412376456,32.0,50.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Jw_delta_peak,P-Jw,original_priority,True,mid,P,333,333,0.0,44.0990990990991,45.0,43.0,45.0,2.136691599918396,35.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Jw_delta_peak,P-Jw,original_priority,True,mid,V,333,333,0.0,45.1021021021021,45.0,44.0,46.0,1.98072681114462,37.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_V_delta_peak,P-V,added_all_pair,False,high,H,334,334,0.0,38.541916167664674,35.0,34.0,45.0,7.302743976790412,21.0,57.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_V_delta_peak,P-V,added_all_pair,False,high,Je,334,334,0.0,45.75748502994012,46.0,45.0,46.0,2.369321114754239,22.0,57.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_V_delta_peak,P-V,added_all_pair,False,high,Jw,334,334,0.0,44.09880239520958,44.0,41.0,48.0,3.783852018640954,32.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_V_delta_peak,P-V,added_all_pair,False,high,P,334,334,0.0,43.23952095808383,44.0,42.0,45.0,2.3073445362296345,31.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_V_delta_peak,P-V,added_all_pair,False,high,V,334,334,0.0,45.65269461077844,46.0,45.0,46.0,1.7395872753154231,40.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_V_delta_peak,P-V,added_all_pair,False,low,H,333,333,0.0,39.126126126126124,37.0,35.0,46.0,6.466946240911507,23.0,57.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_V_delta_peak,P-V,added_all_pair,False,low,Je,333,333,0.0,46.471471471471475,46.0,45.0,47.0,1.704864566379312,34.0,53.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_V_delta_peak,P-V,added_all_pair,False,low,Jw,333,333,0.0,41.87687687687688,41.0,40.0,43.0,2.8842906208281867,33.0,50.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_V_delta_peak,P-V,added_all_pair,False,low,P,333,333,0.0,44.726726726726724,45.0,44.0,46.0,1.7580555833456823,35.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_V_delta_peak,P-V,added_all_pair,False,low,V,333,333,0.0,44.648648648648646,45.0,44.0,46.0,1.8963280083722394,37.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_V_delta_peak,P-V,added_all_pair,False,mid,H,333,333,0.0,38.95495495495496,36.0,34.0,46.0,7.324312608958465,20.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_V_delta_peak,P-V,added_all_pair,False,mid,Je,333,333,0.0,45.909909909909906,46.0,45.0,47.0,2.5431796915803173,30.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_V_delta_peak,P-V,added_all_pair,False,mid,Jw,333,333,0.0,43.12312312312312,42.0,40.0,46.0,3.3129682901322104,33.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_V_delta_peak,P-V,added_all_pair,False,mid,P,333,333,0.0,44.03603603603604,45.0,43.0,45.0,2.1337559279691,34.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_V_delta_peak,P-V,added_all_pair,False,mid,V,333,333,0.0,45.04504504504504,45.0,44.0,46.0,2.007759288964358,37.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_H_delta_peak,V-H,added_all_pair,False,high,H,334,334,0.0,40.81437125748503,38.0,34.0,47.0,8.236462369625595,23.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_H_delta_peak,V-H,added_all_pair,False,high,Je,334,334,0.0,45.50898203592814,45.0,45.0,46.0,1.645334703932489,41.0,56.0,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_H_delta_peak,V-H,added_all_pair,False,high,Jw,334,334,0.0,42.37125748502994,41.0,40.0,45.0,3.0303589376276405,34.0,50.0,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_H_delta_peak,V-H,added_all_pair,False,high,P,334,334,0.0,43.18263473053892,44.0,42.0,45.0,2.227226612335187,35.0,48.0,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_H_delta_peak,V-H,added_all_pair,False,high,V,334,334,0.0,44.00299401197605,44.0,43.0,45.0,1.8832253066267965,37.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_H_delta_peak,V-H,added_all_pair,False,low,H,333,333,0.0,37.693693693693696,36.0,34.0,38.0,5.5321504884064545,27.0,57.0,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_H_delta_peak,V-H,added_all_pair,False,low,Je,333,333,0.0,46.6966966966967,47.0,46.0,48.0,2.9911346752832486,22.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_H_delta_peak,V-H,added_all_pair,False,low,Jw,333,333,0.0,43.9009009009009,44.0,41.0,47.0,3.851040279473287,32.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_H_delta_peak,V-H,added_all_pair,False,low,P,333,333,0.0,44.62462462462462,45.0,44.0,46.0,1.9170117292585076,35.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_H_delta_peak,V-H,added_all_pair,False,low,V,333,333,0.0,46.153153153153156,46.0,45.0,47.0,1.6420575445110046,42.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_H_delta_peak,V-H,added_all_pair,False,mid,H,333,333,0.0,38.108108108108105,36.0,34.0,44.0,6.6870915274662694,20.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_H_delta_peak,V-H,added_all_pair,False,mid,Je,333,333,0.0,45.933933933933936,46.0,45.0,47.0,1.7027144757661439,33.0,53.0,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_H_delta_peak,V-H,added_all_pair,False,mid,Jw,333,333,0.0,42.831831831831835,42.0,40.0,45.0,3.2968507164160585,34.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_H_delta_peak,V-H,added_all_pair,False,mid,P,333,333,0.0,44.1951951951952,45.0,43.0,45.0,2.0843018480325215,31.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_H_delta_peak,V-H,added_all_pair,False,mid,V,333,333,0.0,45.1951951951952,45.0,44.0,46.0,1.6097522000354632,40.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_Je_delta_peak,V-Je,added_all_pair,False,high,H,334,334,0.0,38.547904191616766,36.0,34.0,40.75,6.517413388460062,23.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_Je_delta_peak,V-Je,added_all_pair,False,high,Je,334,334,0.0,46.76946107784431,47.0,46.0,48.0,2.295869448707296,34.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_Je_delta_peak,V-Je,added_all_pair,False,high,Jw,334,334,0.0,42.26347305389221,41.0,40.0,44.0,3.2947379883967467,35.0,50.0,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_Je_delta_peak,V-Je,added_all_pair,False,high,P,334,334,0.0,43.57784431137725,44.0,42.0,45.0,2.1971015905305076,34.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_Je_delta_peak,V-Je,added_all_pair,False,high,V,334,334,0.0,44.22754491017964,44.0,43.0,45.0,1.6151558714155145,37.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_Je_delta_peak,V-Je,added_all_pair,False,low,H,333,333,0.0,39.786786786786784,36.0,34.0,47.0,7.732707458850506,20.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_Je_delta_peak,V-Je,added_all_pair,False,low,Je,333,333,0.0,45.26126126126126,45.0,45.0,46.0,2.2023196083767163,22.0,57.0,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_Je_delta_peak,V-Je,added_all_pair,False,low,Jw,333,333,0.0,43.693693693693696,44.0,41.0,46.0,3.511065449780285,32.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_Je_delta_peak,V-Je,added_all_pair,False,low,P,333,333,0.0,44.46246246246246,45.0,44.0,46.0,2.0817485560327693,31.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_Je_delta_peak,V-Je,added_all_pair,False,low,V,333,333,0.0,46.033033033033036,46.0,45.0,47.0,1.8729499930901454,40.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_Je_delta_peak,V-Je,added_all_pair,False,mid,H,333,333,0.0,38.288288288288285,36.0,34.0,40.0,6.741867998515739,24.0,57.0,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_Je_delta_peak,V-Je,added_all_pair,False,mid,Je,333,333,0.0,46.1051051051051,46.0,45.0,47.0,2.0009947235057757,33.0,56.0,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_Je_delta_peak,V-Je,added_all_pair,False,mid,Jw,333,333,0.0,43.147147147147145,42.0,40.0,46.0,3.4474496378324266,33.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_Je_delta_peak,V-Je,added_all_pair,False,mid,P,333,333,0.0,43.96096096096096,44.0,43.0,45.0,2.127341015602372,35.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_Je_delta_peak,V-Je,added_all_pair,False,mid,V,333,333,0.0,45.090090090090094,45.0,45.0,46.0,1.8475784357359981,37.0,51.0,strict_99,direction_specific_99,stable,False
