window_id,target_name,target_pair,target_set,was_in_original_v9_1_f,score_group,sequence_string,object_peak_median_json,n_objects_present,near_day_threshold,evidence_stage,does_not_rerun_peak_detector,permutation_level,signflip_level,mode_stability_status,extreme_year_dominated_flag
W081,W081_P_vs_V_delta_peak,P-V,original_priority,True,low,H(77.0) -> V(78.0) -> Je(81.0) -> P(82.0) -> Jw(83.0),"{""H"": 77.0, ""Je"": 81.0, ""Jw"": 83.0, ""P"": 82.0, ""V"": 78.0}",5,0.0,target_conditioned_sequence_from_precomputed_bootstrap_peaks,True,strict_99,direction_specific_99,stable,False
W081,W081_P_vs_V_delta_peak,P-V,original_priority,True,mid,H(77.0) -> V(80.0) -> Je(81.0) -> Jw/P(82.0/82.0),"{""H"": 77.0, ""Je"": 81.0, ""Jw"": 82.0, ""P"": 82.0, ""V"": 80.0}",5,0.0,target_conditioned_sequence_from_precomputed_bootstrap_peaks,True,strict_99,direction_specific_99,stable,False
W081,W081_V_vs_H_delta_peak,V-H,added_all_pair,False,high,H(77.0) -> V(78.0) -> P(80.0) -> Je/Jw(81.0/81.0),"{""H"": 77.0, ""Je"": 81.0, ""Jw"": 81.0, ""P"": 80.0, ""V"": 78.0}",5,0.0,target_conditioned_sequence_from_precomputed_bootstrap_peaks,True,strict_99,direction_specific_99,stable,False
W081,W081_V_vs_H_delta_peak,V-H,added_all_pair,False,low,H(77.0) -> Je(80.0) -> V(82.0) -> Jw/P(83.0/83.0),"{""H"": 77.0, ""Je"": 80.0, ""Jw"": 83.0, ""P"": 83.0, ""V"": 82.0}",5,0.0,target_conditioned_sequence_from_precomputed_bootstrap_peaks,True,strict_99,direction_specific_99,stable,False
W081,W081_V_vs_H_delta_peak,V-H,added_all_pair,False,mid,H(77.0) -> V(80.0) -> Je(81.0) -> Jw/P(82.0/82.0),"{""H"": 77.0, ""Je"": 81.0, ""Jw"": 82.0, ""P"": 82.0, ""V"": 80.0}",5,0.0,target_conditioned_sequence_from_precomputed_bootstrap_peaks,True,strict_99,direction_specific_99,stable,False
W081,W081_V_vs_Je_delta_peak,V-Je,added_all_pair,False,high,H(77.0) -> V(78.0) -> P(81.0) -> Je/Jw(82.0/82.0),"{""H"": 77.0, ""Je"": 82.0, ""Jw"": 82.0, ""P"": 81.0, ""V"": 78.0}",5,0.0,target_conditioned_sequence_from_precomputed_bootstrap_peaks,True,strict_99,direction_specific_99,stable,False
W081,W081_V_vs_Je_delta_peak,V-Je,added_all_pair,False,low,H(77.0) -> Je(78.0) -> P/V(82.0/82.0) -> Jw(83.0),"{""H"": 77.0, ""Je"": 78.0, ""Jw"": 83.0, ""P"": 82.0, ""V"": 82.0}",5,0.0,target_conditioned_sequence_from_precomputed_bootstrap_peaks,True,strict_99,direction_specific_99,stable,False
W081,W081_V_vs_Je_delta_peak,V-Je,added_all_pair,False,mid,H(77.0) -> V(80.0) -> Je(81.0) -> Jw/P(82.0/82.0),"{""H"": 77.0, ""Je"": 81.0, ""Jw"": 82.0, ""P"": 82.0, ""V"": 80.0}",5,0.0,target_conditioned_sequence_from_precomputed_bootstrap_peaks,True,strict_99,direction_specific_99,stable,False
W081,W081_V_vs_Jw_delta_peak,V-Jw,original_priority,True,high,H(77.0) -> V(78.0) -> Je/P(81.0/81.0) -> Jw(84.0),"{""H"": 77.0, ""Je"": 81.0, ""Jw"": 84.0, ""P"": 81.0, ""V"": 78.0}",5,0.0,target_conditioned_sequence_from_precomputed_bootstrap_peaks,True,strict_99,direction_specific_99,stable,False
W081,W081_V_vs_Jw_delta_peak,V-Jw,original_priority,True,low,H(78.0) -> Je(80.0) -> Jw(81.0) -> P/V(82.0/82.0),"{""H"": 78.0, ""Je"": 80.0, ""Jw"": 81.0, ""P"": 82.0, ""V"": 82.0}",5,0.0,target_conditioned_sequence_from_precomputed_bootstrap_peaks,True,strict_99,direction_specific_99,stable,False
W081,W081_V_vs_Jw_delta_peak,V-Jw,original_priority,True,mid,H(77.0) -> V(80.0) -> Je(81.0) -> Jw/P(82.0/82.0),"{""H"": 77.0, ""Je"": 81.0, ""Jw"": 82.0, ""P"": 82.0, ""V"": 80.0}",5,0.0,target_conditioned_sequence_from_precomputed_bootstrap_peaks,True,strict_99,direction_specific_99,stable,False
