window_id,config_id,smoothing,detector_width,band_half_width,search_mode,selection_rule,P_peak_day,V_peak_day,H_peak_day,Je_peak_day,Jw_peak_day,sequence_string,sequence_with_days,front_object,last_object
W045,smooth5__narrow_w16_b8__baseline_search__max_overlap,smooth5,16,8,baseline_search,max_overlap,44.0,43.0,39.0,35.0,42.0,Je -> H -> Jw/V/P,Je(day35/5月6日) -> H(day39/5月10日) -> Jw/V/P(day43/5月14日),Je,Jw/V/P
W045,smooth5__narrow_w16_b8__baseline_search__max_score,smooth5,16,8,baseline_search,max_score,44.0,66.0,17.0,29.0,49.0,H -> Je -> P -> Jw -> V,H(day17/4月18日) -> Je(day29/4月30日) -> P(day44/5月15日) -> Jw(day49/5月20日) -> V(day66/6月6日),H,V
W045,smooth5__narrow_w16_b8__narrow_search__baseline_rule,smooth5,16,8,narrow_search,baseline_rule,44.0,43.0,46.0,45.0,42.0,Jw/V/P/Je/H,Jw/V/P/Je/H(day44/5月15日),Jw/V/P/Je/H,Jw/V/P/Je/H
W045,smooth5__narrow_w16_b8__narrow_search__closest_anchor,smooth5,16,8,narrow_search,closest_anchor,44.0,43.0,46.0,45.0,42.0,Jw/V/P/Je/H,Jw/V/P/Je/H(day44/5月15日),Jw/V/P/Je/H,Jw/V/P/Je/H
W045,smooth5__narrow_w16_b8__narrow_search__max_overlap,smooth5,16,8,narrow_search,max_overlap,44.0,43.0,46.0,45.0,42.0,Jw/V/P/Je/H,Jw/V/P/Je/H(day44/5月15日),Jw/V/P/Je/H,Jw/V/P/Je/H
W045,smooth5__narrow_w16_b8__narrow_search__max_score,smooth5,16,8,narrow_search,max_score,44.0,43.0,33.0,30.0,49.0,Je -> H -> V/P -> Jw,Je(day30/5月1日) -> H(day33/5月4日) -> V/P(day44/5月15日) -> Jw(day49/5月20日),Je,Jw
W045,smooth5__narrow_w16_b8__wide_search__baseline_rule,smooth5,16,8,wide_search,baseline_rule,44.0,43.0,39.0,35.0,42.0,Je -> H -> Jw/V/P,Je(day35/5月6日) -> H(day39/5月10日) -> Jw/V/P(day43/5月14日),Je,Jw/V/P
W045,smooth5__narrow_w16_b8__wide_search__closest_anchor,smooth5,16,8,wide_search,closest_anchor,44.0,43.0,39.0,35.0,42.0,Je -> H -> Jw/V/P,Je(day35/5月6日) -> H(day39/5月10日) -> Jw/V/P(day43/5月14日),Je,Jw/V/P
W045,smooth5__narrow_w16_b8__wide_search__max_overlap,smooth5,16,8,wide_search,max_overlap,44.0,43.0,39.0,35.0,42.0,Je -> H -> Jw/V/P,Je(day35/5月6日) -> H(day39/5月10日) -> Jw/V/P(day43/5月14日),Je,Jw/V/P
W045,smooth5__narrow_w16_b8__wide_search__max_score,smooth5,16,8,wide_search,max_score,44.0,74.0,17.0,29.0,74.0,H -> Je -> P -> Jw/V,H(day17/4月18日) -> Je(day29/4月30日) -> P(day44/5月15日) -> Jw/V(day74/6月14日),H,Jw/V
W045,smooth5__wide_w24_b12__baseline_search__baseline_rule,smooth5,24,12,baseline_search,baseline_rule,43.0,43.0,36.0,32.0,48.0,Je -> H -> P/V -> Jw,Je(day32/5月3日) -> H(day36/5月7日) -> P/V(day43/5月14日) -> Jw(day48/5月19日),Je,Jw
W045,smooth5__wide_w24_b12__baseline_search__closest_anchor,smooth5,24,12,baseline_search,closest_anchor,43.0,43.0,36.0,32.0,48.0,Je -> H -> P/V -> Jw,Je(day32/5月3日) -> H(day36/5月7日) -> P/V(day43/5月14日) -> Jw(day48/5月19日),Je,Jw
W045,smooth5__wide_w24_b12__baseline_search__max_overlap,smooth5,24,12,baseline_search,max_overlap,43.0,43.0,36.0,32.0,48.0,Je -> H -> P/V -> Jw,Je(day32/5月3日) -> H(day36/5月7日) -> P/V(day43/5月14日) -> Jw(day48/5月19日),Je,Jw
W045,smooth5__wide_w24_b12__baseline_search__max_score,smooth5,24,12,baseline_search,max_score,43.0,69.0,17.0,26.0,69.0,H -> Je -> P -> Jw/V,H(day17/4月18日) -> Je(day26/4月27日) -> P(day43/5月14日) -> Jw/V(day69/6月9日),H,Jw/V
W045,smooth5__wide_w24_b12__narrow_search__baseline_rule,smooth5,24,12,narrow_search,baseline_rule,43.0,43.0,42.0,48.0,48.0,H/P/V -> Je/Jw,H/P/V(day43/5月14日) -> Je/Jw(day48/5月19日),H/P/V,Je/Jw
W045,smooth5__wide_w24_b12__narrow_search__closest_anchor,smooth5,24,12,narrow_search,closest_anchor,43.0,43.0,42.0,48.0,48.0,H/P/V -> Je/Jw,H/P/V(day43/5月14日) -> Je/Jw(day48/5月19日),H/P/V,Je/Jw
W045,smooth5__wide_w24_b12__narrow_search__max_overlap,smooth5,24,12,narrow_search,max_overlap,43.0,43.0,36.0,36.0,48.0,H/Je -> P/V -> Jw,H/Je(day36/5月7日) -> P/V(day43/5月14日) -> Jw(day48/5月19日),H/Je,Jw
W045,smooth5__wide_w24_b12__narrow_search__max_score,smooth5,24,12,narrow_search,max_score,43.0,43.0,30.0,30.0,48.0,H/Je -> P/V -> Jw,H/Je(day30/5月1日) -> P/V(day43/5月14日) -> Jw(day48/5月19日),H/Je,Jw
W045,smooth5__wide_w24_b12__wide_search__baseline_rule,smooth5,24,12,wide_search,baseline_rule,43.0,43.0,36.0,32.0,48.0,Je -> H -> P/V -> Jw,Je(day32/5月3日) -> H(day36/5月7日) -> P/V(day43/5月14日) -> Jw(day48/5月19日),Je,Jw
W045,smooth5__wide_w24_b12__wide_search__closest_anchor,smooth5,24,12,wide_search,closest_anchor,43.0,43.0,36.0,32.0,48.0,Je -> H -> P/V -> Jw,Je(day32/5月3日) -> H(day36/5月7日) -> P/V(day43/5月14日) -> Jw(day48/5月19日),Je,Jw
W045,smooth5__wide_w24_b12__wide_search__max_overlap,smooth5,24,12,wide_search,max_overlap,43.0,43.0,36.0,32.0,48.0,Je -> H -> P/V -> Jw,Je(day32/5月3日) -> H(day36/5月7日) -> P/V(day43/5月14日) -> Jw(day48/5月19日),Je,Jw
W045,smooth5__wide_w24_b12__wide_search__max_score,smooth5,24,12,wide_search,max_score,43.0,74.0,17.0,74.0,74.0,H -> P -> Je/Jw/V,H(day17/4月18日) -> P(day43/5月14日) -> Je/Jw/V(day74/6月14日),H,Je/Jw/V
W045,smooth9__baseline_w20_b10__baseline_search__baseline_rule,smooth9,20,10,baseline_search,baseline_rule,45.0,45.0,35.0,46.0,41.0,H -> Jw -> P/V/Je,H(day35/5月6日) -> Jw(day41/5月12日) -> P/V/Je(day45/5月16日),H,P/V/Je
W045,smooth9__baseline_w20_b10__baseline_search__closest_anchor,smooth9,20,10,baseline_search,closest_anchor,43.0,44.0,37.0,33.0,43.0,Je -> H -> Jw/P/V,Je(day33/5月4日) -> H(day37/5月8日) -> Jw/P/V(day43/5月14日),Je,Jw/P/V
W045,smooth9__baseline_w20_b10__baseline_search__max_overlap,smooth9,20,10,baseline_search,max_overlap,43.0,44.0,37.0,33.0,49.0,Je -> H -> P/V -> Jw,Je(day33/5月4日) -> H(day37/5月8日) -> P/V(day44/5月15日) -> Jw(day49/5月20日),Je,Jw
W045,smooth9__baseline_w20_b10__baseline_search__max_score,smooth9,20,10,baseline_search,max_score,43.0,69.0,19.0,27.0,69.0,H -> Je -> P -> Jw/V,H(day19/4月20日) -> Je(day27/4月28日) -> P(day43/5月14日) -> Jw/V(day69/6月9日),H,Jw/V
W045,smooth9__baseline_w20_b10__narrow_search__baseline_rule,smooth9,20,10,narrow_search,baseline_rule,43.0,44.0,43.0,47.0,43.0,H/Jw/P/V -> Je,H/Jw/P/V(day43/5月14日) -> Je(day47/5月18日),H/Jw/P/V,Je
W045,smooth9__baseline_w20_b10__narrow_search__closest_anchor,smooth9,20,10,narrow_search,closest_anchor,43.0,44.0,43.0,47.0,43.0,H/Jw/P/V -> Je,H/Jw/P/V(day43/5月14日) -> Je(day47/5月18日),H/Jw/P/V,Je
W045,smooth9__baseline_w20_b10__narrow_search__max_overlap,smooth9,20,10,narrow_search,max_overlap,43.0,44.0,43.0,47.0,49.0,H/P/V -> Je -> Jw,H/P/V(day43/5月14日) -> Je(day47/5月18日) -> Jw(day49/5月20日),H/P/V,Jw
W045,smooth9__baseline_w20_b10__narrow_search__max_score,smooth9,20,10,narrow_search,max_score,43.0,44.0,31.0,30.0,49.0,Je/H -> P/V -> Jw,Je/H(day30/5月1日) -> P/V(day44/5月15日) -> Jw(day49/5月20日),Je/H,Jw
W045,smooth9__baseline_w20_b10__wide_search__baseline_rule,smooth9,20,10,wide_search,baseline_rule,43.0,44.0,31.0,33.0,43.0,H -> Je -> Jw/P/V,H(day31/5月2日) -> Je(day33/5月4日) -> Jw/P/V(day43/5月14日),H,Jw/P/V
W045,smooth9__baseline_w20_b10__wide_search__closest_anchor,smooth9,20,10,wide_search,closest_anchor,43.0,44.0,31.0,33.0,43.0,H -> Je -> Jw/P/V,H(day31/5月2日) -> Je(day33/5月4日) -> Jw/P/V(day43/5月14日),H,Jw/P/V
W045,smooth9__baseline_w20_b10__wide_search__max_overlap,smooth9,20,10,wide_search,max_overlap,43.0,44.0,31.0,33.0,49.0,H -> Je -> P/V -> Jw,H(day31/5月2日) -> Je(day33/5月4日) -> P/V(day44/5月15日) -> Jw(day49/5月20日),H,Jw
W045,smooth9__baseline_w20_b10__wide_search__max_score,smooth9,20,10,wide_search,max_score,43.0,74.0,19.0,27.0,74.0,H -> Je -> P -> Jw/V,H(day19/4月20日) -> Je(day27/4月28日) -> P(day43/5月14日) -> Jw/V(day74/6月14日),H,Jw/V
W045,smooth9__narrow_w16_b8__baseline_search__baseline_rule,smooth9,16,8,baseline_search,baseline_rule,44.0,44.0,38.0,34.0,43.0,Je -> H -> Jw/P/V,Je(day34/5月5日) -> H(day38/5月9日) -> Jw/P/V(day44/5月15日),Je,Jw/P/V
W045,smooth9__narrow_w16_b8__baseline_search__closest_anchor,smooth9,16,8,baseline_search,closest_anchor,44.0,44.0,38.0,34.0,43.0,Je -> H -> Jw/P/V,Je(day34/5月5日) -> H(day38/5月9日) -> Jw/P/V(day44/5月15日),Je,Jw/P/V
W045,smooth9__narrow_w16_b8__baseline_search__max_overlap,smooth9,16,8,baseline_search,max_overlap,44.0,44.0,38.0,34.0,43.0,Je -> H -> Jw/P/V,Je(day34/5月5日) -> H(day38/5月9日) -> Jw/P/V(day44/5月15日),Je,Jw/P/V
W045,smooth9__narrow_w16_b8__baseline_search__max_score,smooth9,16,8,baseline_search,max_score,44.0,69.0,18.0,28.0,69.0,H -> Je -> P -> Jw/V,H(day18/4月19日) -> Je(day28/4月29日) -> P(day44/5月15日) -> Jw/V(day69/6月9日),H,Jw/V
W045,smooth9__narrow_w16_b8__narrow_search__baseline_rule,smooth9,16,8,narrow_search,baseline_rule,44.0,44.0,48.0,45.0,43.0,Jw/P/V/Je -> H,Jw/P/V/Je(day44/5月15日) -> H(day48/5月19日),Jw/P/V/Je,H
W045,smooth9__narrow_w16_b8__narrow_search__closest_anchor,smooth9,16,8,narrow_search,closest_anchor,44.0,44.0,48.0,45.0,43.0,Jw/P/V/Je -> H,Jw/P/V/Je(day44/5月15日) -> H(day48/5月19日),Jw/P/V/Je,H
W045,smooth9__narrow_w16_b8__narrow_search__max_overlap,smooth9,16,8,narrow_search,max_overlap,44.0,44.0,48.0,45.0,43.0,Jw/P/V/Je -> H,Jw/P/V/Je(day44/5月15日) -> H(day48/5月19日),Jw/P/V/Je,H
W045,smooth9__narrow_w16_b8__narrow_search__max_score,smooth9,16,8,narrow_search,max_score,44.0,44.0,32.0,30.0,49.0,Je -> H -> P/V -> Jw,Je(day30/5月1日) -> H(day32/5月3日) -> P/V(day44/5月15日) -> Jw(day49/5月20日),Je,Jw
W045,smooth9__narrow_w16_b8__wide_search__baseline_rule,smooth9,16,8,wide_search,baseline_rule,44.0,44.0,32.0,34.0,43.0,H -> Je -> Jw/P/V,H(day32/5月3日) -> Je(day34/5月5日) -> Jw/P/V(day44/5月15日),H,Jw/P/V
W045,smooth9__narrow_w16_b8__wide_search__closest_anchor,smooth9,16,8,wide_search,closest_anchor,44.0,44.0,32.0,34.0,43.0,H -> Je -> Jw/P/V,H(day32/5月3日) -> Je(day34/5月5日) -> Jw/P/V(day44/5月15日),H,Jw/P/V
W045,smooth9__narrow_w16_b8__wide_search__max_overlap,smooth9,16,8,wide_search,max_overlap,44.0,44.0,32.0,34.0,43.0,H -> Je -> Jw/P/V,H(day32/5月3日) -> Je(day34/5月5日) -> Jw/P/V(day44/5月15日),H,Jw/P/V
W045,smooth9__narrow_w16_b8__wide_search__max_score,smooth9,16,8,wide_search,max_score,44.0,74.0,18.0,28.0,74.0,H -> Je -> P -> Jw/V,H(day18/4月19日) -> Je(day28/4月29日) -> P(day44/5月15日) -> Jw/V(day74/6月14日),H,Jw/V
W045,smooth9__wide_w24_b12__baseline_search__baseline_rule,smooth9,24,12,baseline_search,baseline_rule,42.0,44.0,37.0,32.0,48.0,Je -> H -> P -> V -> Jw,Je(day32/5月3日) -> H(day37/5月8日) -> P(day42/5月13日) -> V(day44/5月15日) -> Jw(day48/5月19日),Je,Jw
W045,smooth9__wide_w24_b12__baseline_search__closest_anchor,smooth9,24,12,baseline_search,closest_anchor,42.0,44.0,37.0,32.0,48.0,Je -> H -> P -> V -> Jw,Je(day32/5月3日) -> H(day37/5月8日) -> P(day42/5月13日) -> V(day44/5月15日) -> Jw(day48/5月19日),Je,Jw
W045,smooth9__wide_w24_b12__baseline_search__max_overlap,smooth9,24,12,baseline_search,max_overlap,42.0,44.0,37.0,32.0,48.0,Je -> H -> P -> V -> Jw,Je(day32/5月3日) -> H(day37/5月8日) -> P(day42/5月13日) -> V(day44/5月15日) -> Jw(day48/5月19日),Je,Jw
W045,smooth9__wide_w24_b12__baseline_search__max_score,smooth9,24,12,baseline_search,max_score,42.0,69.0,19.0,26.0,69.0,H -> Je -> P -> Jw/V,H(day19/4月20日) -> Je(day26/4月27日) -> P(day42/5月13日) -> Jw/V(day69/6月9日),H,Jw/V
W045,smooth9__wide_w24_b12__narrow_search__baseline_rule,smooth9,24,12,narrow_search,baseline_rule,42.0,44.0,42.0,48.0,48.0,H/P -> V -> Je/Jw,H/P(day42/5月13日) -> V(day44/5月15日) -> Je/Jw(day48/5月19日),H/P,Je/Jw
W045,smooth9__wide_w24_b12__narrow_search__closest_anchor,smooth9,24,12,narrow_search,closest_anchor,42.0,44.0,42.0,48.0,48.0,H/P -> V -> Je/Jw,H/P(day42/5月13日) -> V(day44/5月15日) -> Je/Jw(day48/5月19日),H/P,Je/Jw
W045,smooth9__wide_w24_b12__narrow_search__max_overlap,smooth9,24,12,narrow_search,max_overlap,42.0,44.0,36.0,36.0,48.0,H/Je -> P -> V -> Jw,H/Je(day36/5月7日) -> P(day42/5月13日) -> V(day44/5月15日) -> Jw(day48/5月19日),H/Je,Jw
W045,smooth9__wide_w24_b12__narrow_search__max_score,smooth9,24,12,narrow_search,max_score,42.0,44.0,30.0,30.0,48.0,H/Je -> P -> V -> Jw,H/Je(day30/5月1日) -> P(day42/5月13日) -> V(day44/5月15日) -> Jw(day48/5月19日),H/Je,Jw
W045,smooth9__wide_w24_b12__wide_search__baseline_rule,smooth9,24,12,wide_search,baseline_rule,42.0,44.0,31.0,32.0,48.0,H/Je -> P -> V -> Jw,H/Je(day32/5月3日) -> P(day42/5月13日) -> V(day44/5月15日) -> Jw(day48/5月19日),H/Je,Jw
W045,smooth9__wide_w24_b12__wide_search__closest_anchor,smooth9,24,12,wide_search,closest_anchor,42.0,44.0,31.0,32.0,48.0,H/Je -> P -> V -> Jw,H/Je(day32/5月3日) -> P(day42/5月13日) -> V(day44/5月15日) -> Jw(day48/5月19日),H/Je,Jw
W045,smooth9__wide_w24_b12__wide_search__max_overlap,smooth9,24,12,wide_search,max_overlap,42.0,44.0,31.0,32.0,48.0,H/Je -> P -> V -> Jw,H/Je(day32/5月3日) -> P(day42/5月13日) -> V(day44/5月15日) -> Jw(day48/5月19日),H/Je,Jw
W045,smooth9__wide_w24_b12__wide_search__max_score,smooth9,24,12,wide_search,max_score,42.0,74.0,19.0,74.0,74.0,H -> P -> Je/Jw/V,H(day19/4月20日) -> P(day42/5月13日) -> Je/Jw/V(day74/6月14日),H,Je/Jw/V
