row_index,loo_pattern_corr,loo_status,window_id,target_name
11,0.9983972929035282,ok,W045,W045_V_earlier_minus_Jw_earlier
12,0.9742371007874928,ok,W045,W045_V_earlier_minus_Jw_earlier
13,0.9830084766996983,ok,W045,W045_V_earlier_minus_Jw_earlier
14,0.9912264555982926,ok,W045,W045_V_earlier_minus_Jw_earlier
15,0.9990769087341577,ok,W045,W045_V_earlier_minus_Jw_earlier
16,0.9944335750073999,ok,W045,W045_V_earlier_minus_Jw_earlier
17,0.9991887436795821,ok,W045,W045_V_earlier_minus_Jw_earlier
18,0.9959227864256216,ok,W045,W045_V_earlier_minus_Jw_earlier
19,0.9989154418120889,ok,W045,W045_V_earlier_minus_Jw_earlier
20,0.9940638214094885,ok,W045,W045_V_earlier_minus_Jw_earlier
21,0.9999381180732887,ok,W045,W045_V_earlier_minus_Jw_earlier
22,0.9980920385633026,ok,W045,W045_V_earlier_minus_Jw_earlier
23,0.999997681176545,ok,W045,W045_V_earlier_minus_Jw_earlier
24,0.996411736344507,ok,W045,W045_V_earlier_minus_Jw_earlier
25,0.9996579716986254,ok,W045,W045_V_earlier_minus_Jw_earlier
26,0.9999187301916155,ok,W045,W045_V_earlier_minus_Jw_earlier
27,0.9995888235031252,ok,W045,W045_V_earlier_minus_Jw_earlier
28,0.9967353572115764,ok,W045,W045_V_earlier_minus_Jw_earlier
29,0.9971140788646031,ok,W045,W045_V_earlier_minus_Jw_earlier
30,0.9994051718659841,ok,W045,W045_V_earlier_minus_Jw_earlier
31,0.9995556374612097,ok,W045,W045_V_earlier_minus_Jw_earlier
32,0.9897080283384448,ok,W045,W045_V_earlier_minus_Jw_earlier
33,0.9997141386065043,ok,W045,W045_V_earlier_minus_Jw_earlier
34,0.9999515176939748,ok,W045,W045_V_earlier_minus_Jw_earlier
35,0.9999589163351719,ok,W045,W045_V_earlier_minus_Jw_earlier
36,0.999828945265407,ok,W045,W045_V_earlier_minus_Jw_earlier
37,0.9906714153618489,ok,W045,W045_V_earlier_minus_Jw_earlier
38,0.9929114593214146,ok,W045,W045_V_earlier_minus_Jw_earlier
39,0.9933334234614019,ok,W045,W045_V_earlier_minus_Jw_earlier
40,0.9975227447882051,ok,W045,W045_V_earlier_minus_Jw_earlier
41,0.9992839807520733,ok,W045,W045_V_earlier_minus_Jw_earlier
42,0.9940171074809637,ok,W045,W045_V_earlier_minus_Jw_earlier
43,0.9841108940000396,ok,W045,W045_V_earlier_minus_Jw_earlier
44,0.9832540502679862,ok,W045,W045_V_earlier_minus_Jw_earlier
0,0.983856752998356,ok,W045,W045_V_earlier_minus_Je_earlier
1,0.9995423815372184,ok,W045,W045_V_earlier_minus_Je_earlier
2,0.9999650475841573,ok,W045,W045_V_earlier_minus_Je_earlier
3,0.9940222494722839,ok,W045,W045_V_earlier_minus_Je_earlier
4,0.9983314449661307,ok,W045,W045_V_earlier_minus_Je_earlier
5,0.9953845226503947,ok,W045,W045_V_earlier_minus_Je_earlier
6,0.9721931057155196,ok,W045,W045_V_earlier_minus_Je_earlier
7,0.9955549491176313,ok,W045,W045_V_earlier_minus_Je_earlier
8,0.9987327145091501,ok,W045,W045_V_earlier_minus_Je_earlier
9,0.992561016179991,ok,W045,W045_V_earlier_minus_Je_earlier
10,0.9921100172320161,ok,W045,W045_V_earlier_minus_Je_earlier
11,0.9960214969670741,ok,W045,W045_V_earlier_minus_Je_earlier
12,0.9867859904970214,ok,W045,W045_V_earlier_minus_Je_earlier
13,0.9828622254719025,ok,W045,W045_V_earlier_minus_Je_earlier
14,0.9963506346655948,ok,W045,W045_V_earlier_minus_Je_earlier
15,0.9979023583778931,ok,W045,W045_V_earlier_minus_Je_earlier
16,0.9982029426125993,ok,W045,W045_V_earlier_minus_Je_earlier
17,0.9985591515883018,ok,W045,W045_V_earlier_minus_Je_earlier
18,0.9924692504147367,ok,W045,W045_V_earlier_minus_Je_earlier
19,0.9973913755823297,ok,W045,W045_V_earlier_minus_Je_earlier
20,0.9994834700017985,ok,W045,W045_V_earlier_minus_Je_earlier
21,0.9891544766180983,ok,W045,W045_V_earlier_minus_Je_earlier
22,0.9997612203931594,ok,W045,W045_V_earlier_minus_Je_earlier
23,0.9987554959591056,ok,W045,W045_V_earlier_minus_Je_earlier
24,0.9876207296016649,ok,W045,W045_V_earlier_minus_Je_earlier
25,0.9868962318641501,ok,W045,W045_V_earlier_minus_Je_earlier
26,0.9996878311346329,ok,W045,W045_V_earlier_minus_Je_earlier
27,0.9799510432307401,ok,W045,W045_V_earlier_minus_Je_earlier
28,0.9997810669773937,ok,W045,W045_V_earlier_minus_Je_earlier
29,0.9981411561164231,ok,W045,W045_V_earlier_minus_Je_earlier
30,0.9979483034776467,ok,W045,W045_V_earlier_minus_Je_earlier
31,0.9916700704087845,ok,W045,W045_V_earlier_minus_Je_earlier
32,0.9963283624466852,ok,W045,W045_V_earlier_minus_Je_earlier
33,0.9933984373490164,ok,W045,W045_V_earlier_minus_Je_earlier
34,0.9803124920587285,ok,W045,W045_V_earlier_minus_Je_earlier
35,0.9980089081537467,ok,W045,W045_V_earlier_minus_Je_earlier
36,0.9986872318771465,ok,W045,W045_V_earlier_minus_Je_earlier
37,0.9515186890309004,ok,W045,W045_V_earlier_minus_Je_earlier
38,0.9988439429015405,ok,W045,W045_V_earlier_minus_Je_earlier
39,0.9939821249906778,ok,W045,W045_V_earlier_minus_Je_earlier
40,0.9953182958050113,ok,W045,W045_V_earlier_minus_Je_earlier
41,0.9992796897266224,ok,W045,W045_V_earlier_minus_Je_earlier
42,0.9996903764289622,ok,W045,W045_V_earlier_minus_Je_earlier
43,0.9673595346753096,ok,W045,W045_V_earlier_minus_Je_earlier
44,0.9979023714831932,ok,W045,W045_V_earlier_minus_Je_earlier
0,0.999925387720589,ok,W045,W045_P_earlier_minus_V_earlier
1,0.9904161836780403,ok,W045,W045_P_earlier_minus_V_earlier
2,0.9934371048221472,ok,W045,W045_P_earlier_minus_V_earlier
3,0.9999854342210904,ok,W045,W045_P_earlier_minus_V_earlier
4,0.9988803083417862,ok,W045,W045_P_earlier_minus_V_earlier
5,0.9994938499351245,ok,W045,W045_P_earlier_minus_V_earlier
6,0.9981289319332629,ok,W045,W045_P_earlier_minus_V_earlier
7,0.9604971767592816,ok,W045,W045_P_earlier_minus_V_earlier
8,0.9885477248719083,ok,W045,W045_P_earlier_minus_V_earlier
9,0.9818710579500818,ok,W045,W045_P_earlier_minus_V_earlier
10,0.9772528503308815,ok,W045,W045_P_earlier_minus_V_earlier
11,0.9998763865596718,ok,W045,W045_P_earlier_minus_V_earlier
12,0.9423669525274587,ok,W045,W045_P_earlier_minus_V_earlier
13,0.9969931211769963,ok,W045,W045_P_earlier_minus_V_earlier
14,0.9991426243076896,ok,W045,W045_P_earlier_minus_V_earlier
15,0.9981429542221757,ok,W045,W045_P_earlier_minus_V_earlier
16,0.9999420854641752,ok,W045,W045_P_earlier_minus_V_earlier
17,0.992850800053269,ok,W045,W045_P_earlier_minus_V_earlier
18,0.9792847119115043,ok,W045,W045_P_earlier_minus_V_earlier
19,0.9978102071383378,ok,W045,W045_P_earlier_minus_V_earlier
20,0.9888176355675166,ok,W045,W045_P_earlier_minus_V_earlier
21,0.996993925353708,ok,W045,W045_P_earlier_minus_V_earlier
22,0.9993048029988335,ok,W045,W045_P_earlier_minus_V_earlier
23,0.9995375846088946,ok,W045,W045_P_earlier_minus_V_earlier
24,0.999200752684071,ok,W045,W045_P_earlier_minus_V_earlier
25,0.9998415169461311,ok,W045,W045_P_earlier_minus_V_earlier
26,0.9880690217348902,ok,W045,W045_P_earlier_minus_V_earlier
27,0.9997990653503107,ok,W045,W045_P_earlier_minus_V_earlier
28,0.9983361091825559,ok,W045,W045_P_earlier_minus_V_earlier
29,0.9995489195288236,ok,W045,W045_P_earlier_minus_V_earlier
30,0.9868514836149587,ok,W045,W045_P_earlier_minus_V_earlier
31,0.999660822590058,ok,W045,W045_P_earlier_minus_V_earlier
32,0.9801923867103141,ok,W045,W045_P_earlier_minus_V_earlier
33,0.999818399536114,ok,W045,W045_P_earlier_minus_V_earlier
34,0.9940321784172161,ok,W045,W045_P_earlier_minus_V_earlier
35,0.9783368366173398,ok,W045,W045_P_earlier_minus_V_earlier
36,0.9998317649435459,ok,W045,W045_P_earlier_minus_V_earlier
37,0.979124258872214,ok,W045,W045_P_earlier_minus_V_earlier
38,0.9908453154645404,ok,W045,W045_P_earlier_minus_V_earlier
39,0.9985936548691372,ok,W045,W045_P_earlier_minus_V_earlier
40,0.9406142399487916,ok,W045,W045_P_earlier_minus_V_earlier
41,0.9965606256744519,ok,W045,W045_P_earlier_minus_V_earlier
42,0.9833810941838611,ok,W045,W045_P_earlier_minus_V_earlier
43,0.9998523852334741,ok,W045,W045_P_earlier_minus_V_earlier
44,0.995910779804852,ok,W045,W045_P_earlier_minus_V_earlier
0,0.9942938170059595,ok,W045,W045_Je_earlier_minus_Jw_earlier
1,0.9999075392104234,ok,W045,W045_Je_earlier_minus_Jw_earlier
2,0.9999932832550195,ok,W045,W045_Je_earlier_minus_Jw_earlier
3,0.9638665374677102,ok,W045,W045_Je_earlier_minus_Jw_earlier
4,0.9999568837651388,ok,W045,W045_Je_earlier_minus_Jw_earlier
5,0.9945686956247146,ok,W045,W045_Je_earlier_minus_Jw_earlier
6,0.9977281710561833,ok,W045,W045_Je_earlier_minus_Jw_earlier
7,0.9993678229238238,ok,W045,W045_Je_earlier_minus_Jw_earlier
8,0.9986869985312186,ok,W045,W045_Je_earlier_minus_Jw_earlier
9,0.9958109759436042,ok,W045,W045_Je_earlier_minus_Jw_earlier
10,0.9994603472151847,ok,W045,W045_Je_earlier_minus_Jw_earlier
11,0.999965854114683,ok,W045,W045_Je_earlier_minus_Jw_earlier
12,0.96098749222343,ok,W045,W045_Je_earlier_minus_Jw_earlier
13,0.9821191051796206,ok,W045,W045_Je_earlier_minus_Jw_earlier
14,0.9953336796550738,ok,W045,W045_Je_earlier_minus_Jw_earlier
15,0.9989186857881057,ok,W045,W045_Je_earlier_minus_Jw_earlier
16,0.9869978870833002,ok,W045,W045_Je_earlier_minus_Jw_earlier
17,0.9997068432017525,ok,W045,W045_Je_earlier_minus_Jw_earlier
18,0.9995379803584388,ok,W045,W045_Je_earlier_minus_Jw_earlier
19,0.9953250808203246,ok,W045,W045_Je_earlier_minus_Jw_earlier
20,0.997926158918301,ok,W045,W045_Je_earlier_minus_Jw_earlier
21,0.996436234910769,ok,W045,W045_Je_earlier_minus_Jw_earlier
22,0.997871571193386,ok,W045,W045_Je_earlier_minus_Jw_earlier
23,0.999999842400858,ok,W045,W045_Je_earlier_minus_Jw_earlier
24,0.9995105456022206,ok,W045,W045_Je_earlier_minus_Jw_earlier
25,0.998410259625489,ok,W045,W045_Je_earlier_minus_Jw_earlier
26,0.9999846999430679,ok,W045,W045_Je_earlier_minus_Jw_earlier
27,0.9999481411316287,ok,W045,W045_Je_earlier_minus_Jw_earlier
28,0.9965759532271107,ok,W045,W045_Je_earlier_minus_Jw_earlier
29,0.9908464132579753,ok,W045,W045_Je_earlier_minus_Jw_earlier
30,0.9981549856287887,ok,W045,W045_Je_earlier_minus_Jw_earlier
31,0.9997294969064443,ok,W045,W045_Je_earlier_minus_Jw_earlier
32,0.9961135460091595,ok,W045,W045_Je_earlier_minus_Jw_earlier
33,0.9999985493970498,ok,W045,W045_Je_earlier_minus_Jw_earlier
34,0.9993419062729014,ok,W045,W045_Je_earlier_minus_Jw_earlier
35,0.9997304546006821,ok,W045,W045_Je_earlier_minus_Jw_earlier
36,0.999849538484154,ok,W045,W045_Je_earlier_minus_Jw_earlier
37,0.9983665064268936,ok,W045,W045_Je_earlier_minus_Jw_earlier
38,0.9919098381159448,ok,W045,W045_Je_earlier_minus_Jw_earlier
39,0.9870136819354358,ok,W045,W045_Je_earlier_minus_Jw_earlier
40,0.9992742016179252,ok,W045,W045_Je_earlier_minus_Jw_earlier
41,0.9992353178459994,ok,W045,W045_Je_earlier_minus_Jw_earlier
42,0.9976102974231608,ok,W045,W045_Je_earlier_minus_Jw_earlier
43,0.9699872360847824,ok,W045,W045_Je_earlier_minus_Jw_earlier
44,0.9772733921929883,ok,W045,W045_Je_earlier_minus_Jw_earlier
0,0.9781835155223427,ok,W045,W045_P_earlier_minus_Je_earlier
1,0.9983595468517641,ok,W045,W045_P_earlier_minus_Je_earlier
2,0.9984216073869095,ok,W045,W045_P_earlier_minus_Je_earlier
3,0.9997453969035958,ok,W045,W045_P_earlier_minus_Je_earlier
4,0.9996391360801269,ok,W045,W045_P_earlier_minus_Je_earlier
5,0.9929722972727993,ok,W045,W045_P_earlier_minus_Je_earlier
6,0.9530066979059456,ok,W045,W045_P_earlier_minus_Je_earlier
7,0.9941549359412373,ok,W045,W045_P_earlier_minus_Je_earlier
8,0.9971979704342678,ok,W045,W045_P_earlier_minus_Je_earlier
9,0.998985896119554,ok,W045,W045_P_earlier_minus_Je_earlier
10,0.9986913959957469,ok,W045,W045_P_earlier_minus_Je_earlier
11,0.9954864408652633,ok,W045,W045_P_earlier_minus_Je_earlier
12,0.9975490684284939,ok,W045,W045_P_earlier_minus_Je_earlier
13,0.9920489099527519,ok,W045,W045_P_earlier_minus_Je_earlier
14,0.9901644151938078,ok,W045,W045_P_earlier_minus_Je_earlier
15,0.9957351494396289,ok,W045,W045_P_earlier_minus_Je_earlier
16,0.9983416503419057,ok,W045,W045_P_earlier_minus_Je_earlier
17,0.9999992346981136,ok,W045,W045_P_earlier_minus_Je_earlier
18,0.953987115437118,ok,W045,W045_P_earlier_minus_Je_earlier
19,0.99646061575312,ok,W045,W045_P_earlier_minus_Je_earlier
20,0.9971977161736234,ok,W045,W045_P_earlier_minus_Je_earlier
21,0.9941879524349343,ok,W045,W045_P_earlier_minus_Je_earlier
22,0.9988152866217371,ok,W045,W045_P_earlier_minus_Je_earlier
23,0.9998459119114527,ok,W045,W045_P_earlier_minus_Je_earlier
24,0.9913499071706453,ok,W045,W045_P_earlier_minus_Je_earlier
25,0.9767840926610316,ok,W045,W045_P_earlier_minus_Je_earlier
26,0.9955072300528907,ok,W045,W045_P_earlier_minus_Je_earlier
27,0.9790151274085502,ok,W045,W045_P_earlier_minus_Je_earlier
28,0.9960888010616489,ok,W045,W045_P_earlier_minus_Je_earlier
29,0.9999953891881188,ok,W045,W045_P_earlier_minus_Je_earlier
30,0.9987804582338708,ok,W045,W045_P_earlier_minus_Je_earlier
31,0.9930007925636709,ok,W045,W045_P_earlier_minus_Je_earlier
32,0.999999999712773,ok,W045,W045_P_earlier_minus_Je_earlier
33,0.9931746837736423,ok,W045,W045_P_earlier_minus_Je_earlier
34,0.9926169922638647,ok,W045,W045_P_earlier_minus_Je_earlier
35,0.9969056673785901,ok,W045,W045_P_earlier_minus_Je_earlier
36,0.9973349294923479,ok,W045,W045_P_earlier_minus_Je_earlier
37,0.9850964661843384,ok,W045,W045_P_earlier_minus_Je_earlier
38,0.9985882342320401,ok,W045,W045_P_earlier_minus_Je_earlier
39,0.9962400533238163,ok,W045,W045_P_earlier_minus_Je_earlier
40,0.990617955588149,ok,W045,W045_P_earlier_minus_Je_earlier
41,0.9991122372872167,ok,W045,W045_P_earlier_minus_Je_earlier
42,0.9976040430039917,ok,W045,W045_P_earlier_minus_Je_earlier
43,0.9641800913433494,ok,W045,W045_P_earlier_minus_Je_earlier
44,0.9950388052976358,ok,W045,W045_P_earlier_minus_Je_earlier
0,0.9841670393828253,ok,W045,W045_P_late_minus_early_peak_influence
1,0.9982932728591701,ok,W045,W045_P_late_minus_early_peak_influence
2,0.9555273973225292,ok,W045,W045_P_late_minus_early_peak_influence
3,0.9971507081426658,ok,W045,W045_P_late_minus_early_peak_influence
4,0.9969472733135728,ok,W045,W045_P_late_minus_early_peak_influence
5,0.9917741862180319,ok,W045,W045_P_late_minus_early_peak_influence
6,0.9659825241006332,ok,W045,W045_P_late_minus_early_peak_influence
7,0.9814812544206829,ok,W045,W045_P_late_minus_early_peak_influence
8,0.9979540130797206,ok,W045,W045_P_late_minus_early_peak_influence
9,0.9993230699025888,ok,W045,W045_P_late_minus_early_peak_influence
10,0.9970799985865544,ok,W045,W045_P_late_minus_early_peak_influence
11,0.9992553692176318,ok,W045,W045_P_late_minus_early_peak_influence
12,0.9770042204874334,ok,W045,W045_P_late_minus_early_peak_influence
13,0.998710825883854,ok,W045,W045_P_late_minus_early_peak_influence
14,0.9915177693476434,ok,W045,W045_P_late_minus_early_peak_influence
15,0.9935668045763019,ok,W045,W045_P_late_minus_early_peak_influence
16,0.9906569403093818,ok,W045,W045_P_late_minus_early_peak_influence
17,0.9984265490804548,ok,W045,W045_P_late_minus_early_peak_influence
18,0.9800932186794502,ok,W045,W045_P_late_minus_early_peak_influence
19,0.994258616503686,ok,W045,W045_P_late_minus_early_peak_influence
20,0.9788851418166937,ok,W045,W045_P_late_minus_early_peak_influence
21,0.9854408618687055,ok,W045,W045_P_late_minus_early_peak_influence
22,0.99773003482618,ok,W045,W045_P_late_minus_early_peak_influence
23,0.9912342984255341,ok,W045,W045_P_late_minus_early_peak_influence
24,0.9978880989875577,ok,W045,W045_P_late_minus_early_peak_influence
25,0.998544829227559,ok,W045,W045_P_late_minus_early_peak_influence
26,0.9938185630881333,ok,W045,W045_P_late_minus_early_peak_influence
27,0.9955092108145299,ok,W045,W045_P_late_minus_early_peak_influence
28,0.9983641773662102,ok,W045,W045_P_late_minus_early_peak_influence
29,0.996540868613584,ok,W045,W045_P_late_minus_early_peak_influence
30,0.9649470422715624,ok,W045,W045_P_late_minus_early_peak_influence
31,0.9977073073860285,ok,W045,W045_P_late_minus_early_peak_influence
32,0.996553254513872,ok,W045,W045_P_late_minus_early_peak_influence
33,0.9915186096241106,ok,W045,W045_P_late_minus_early_peak_influence
34,0.9999951950653042,ok,W045,W045_P_late_minus_early_peak_influence
35,0.9984353726170454,ok,W045,W045_P_late_minus_early_peak_influence
36,0.9898298211549648,ok,W045,W045_P_late_minus_early_peak_influence
37,0.9994595373049907,ok,W045,W045_P_late_minus_early_peak_influence
38,0.987131084046477,ok,W045,W045_P_late_minus_early_peak_influence
39,0.998306031483194,ok,W045,W045_P_late_minus_early_peak_influence
40,0.9856143428107407,ok,W045,W045_P_late_minus_early_peak_influence
41,0.9999588896132251,ok,W045,W045_P_late_minus_early_peak_influence
42,0.9875844560691789,ok,W045,W045_P_late_minus_early_peak_influence
43,0.9955724647770778,ok,W045,W045_P_late_minus_early_peak_influence
44,0.9953076280068153,ok,W045,W045_P_late_minus_early_peak_influence
0,0.9828364594309951,ok,W045,W045_Jw_late_minus_early_peak_influence
1,0.9978085996732806,ok,W045,W045_Jw_late_minus_early_peak_influence
2,0.99790181684775,ok,W045,W045_Jw_late_minus_early_peak_influence
3,0.9535387723130581,ok,W045,W045_Jw_late_minus_early_peak_influence
4,0.9970621036528649,ok,W045,W045_Jw_late_minus_early_peak_influence
5,0.9992132590643021,ok,W045,W045_Jw_late_minus_early_peak_influence
6,0.9974907016014579,ok,W045,W045_Jw_late_minus_early_peak_influence
7,0.9989179025535844,ok,W045,W045_Jw_late_minus_early_peak_influence
8,0.9992455784606417,ok,W045,W045_Jw_late_minus_early_peak_influence
9,0.9998259986052073,ok,W045,W045_Jw_late_minus_early_peak_influence
10,0.9986462421749085,ok,W045,W045_Jw_late_minus_early_peak_influence
11,0.9992131776706598,ok,W045,W045_Jw_late_minus_early_peak_influence
12,0.9898277300823021,ok,W045,W045_Jw_late_minus_early_peak_influence
13,0.9872820832966632,ok,W045,W045_Jw_late_minus_early_peak_influence
14,0.9955231322879866,ok,W045,W045_Jw_late_minus_early_peak_influence
15,0.996428254903475,ok,W045,W045_Jw_late_minus_early_peak_influence
16,0.9912579791805445,ok,W045,W045_Jw_late_minus_early_peak_influence
17,0.997254989084986,ok,W045,W045_Jw_late_minus_early_peak_influence
18,0.9973657552983184,ok,W045,W045_Jw_late_minus_early_peak_influence
19,0.9987875092161701,ok,W045,W045_Jw_late_minus_early_peak_influence
20,0.9752855317120803,ok,W045,W045_Jw_late_minus_early_peak_influence
21,0.9961344955080959,ok,W045,W045_Jw_late_minus_early_peak_influence
22,0.998341526992678,ok,W045,W045_Jw_late_minus_early_peak_influence
23,0.9999750798190951,ok,W045,W045_Jw_late_minus_early_peak_influence
24,0.9950356641760976,ok,W045,W045_Jw_late_minus_early_peak_influence
25,0.9981492611847297,ok,W045,W045_Jw_late_minus_early_peak_influence
26,0.9998458843769128,ok,W045,W045_Jw_late_minus_early_peak_influence
27,0.999967513445758,ok,W045,W045_Jw_late_minus_early_peak_influence
28,0.9986269166880416,ok,W045,W045_Jw_late_minus_early_peak_influence
29,0.9983226053004044,ok,W045,W045_Jw_late_minus_early_peak_influence
30,0.999676247412272,ok,W045,W045_Jw_late_minus_early_peak_influence
31,0.9999787565695818,ok,W045,W045_Jw_late_minus_early_peak_influence
32,0.9999802383699326,ok,W045,W045_Jw_late_minus_early_peak_influence
33,0.9997513241676471,ok,W045,W045_Jw_late_minus_early_peak_influence
34,0.9997799516772642,ok,W045,W045_Jw_late_minus_early_peak_influence
35,0.9990432012326628,ok,W045,W045_Jw_late_minus_early_peak_influence
36,0.9999957251561483,ok,W045,W045_Jw_late_minus_early_peak_influence
37,0.9988862701987172,ok,W045,W045_Jw_late_minus_early_peak_influence
38,0.9938707043660189,ok,W045,W045_Jw_late_minus_early_peak_influence
39,0.980099253385553,ok,W045,W045_Jw_late_minus_early_peak_influence
40,0.9993098144782144,ok,W045,W045_Jw_late_minus_early_peak_influence
41,0.9994374611950954,ok,W045,W045_Jw_late_minus_early_peak_influence
42,0.9811966604195318,ok,W045,W045_Jw_late_minus_early_peak_influence
43,0.9749889249665527,ok,W045,W045_Jw_late_minus_early_peak_influence
44,0.9914322855367887,ok,W045,W045_Jw_late_minus_early_peak_influence
0,0.9995150486106458,ok,W045,W045_Je_late_minus_early_peak_influence
1,0.9978183344167892,ok,W045,W045_Je_late_minus_early_peak_influence
2,0.9761143574439158,ok,W045,W045_Je_late_minus_early_peak_influence
3,0.9997676442246995,ok,W045,W045_Je_late_minus_early_peak_influence
4,0.9968587178350503,ok,W045,W045_Je_late_minus_early_peak_influence
5,0.9966152825487516,ok,W045,W045_Je_late_minus_early_peak_influence
6,0.999984751497373,ok,W045,W045_Je_late_minus_early_peak_influence
7,0.9996517122925943,ok,W045,W045_Je_late_minus_early_peak_influence
8,0.9951494187757651,ok,W045,W045_Je_late_minus_early_peak_influence
9,0.999759863844403,ok,W045,W045_Je_late_minus_early_peak_influence
10,0.9971311084399559,ok,W045,W045_Je_late_minus_early_peak_influence
11,0.9964517904593443,ok,W045,W045_Je_late_minus_early_peak_influence
12,0.9883908656342677,ok,W045,W045_Je_late_minus_early_peak_influence
13,0.9699724933261947,ok,W045,W045_Je_late_minus_early_peak_influence
14,0.9967161888411696,ok,W045,W045_Je_late_minus_early_peak_influence
15,0.999687543914573,ok,W045,W045_Je_late_minus_early_peak_influence
16,0.9998288352278348,ok,W045,W045_Je_late_minus_early_peak_influence
17,0.9977134869688649,ok,W045,W045_Je_late_minus_early_peak_influence
18,0.9761957385661638,ok,W045,W045_Je_late_minus_early_peak_influence
19,0.9611327980923938,ok,W045,W045_Je_late_minus_early_peak_influence
20,0.995523578670862,ok,W045,W045_Je_late_minus_early_peak_influence
21,0.9998838395646074,ok,W045,W045_Je_late_minus_early_peak_influence
22,0.9858908705382661,ok,W045,W045_Je_late_minus_early_peak_influence
23,0.9911908831114109,ok,W045,W045_Je_late_minus_early_peak_influence
