pc_phase,mode,window_id,object,selected_candidate_id,selected_peak_day,selected_window_start,selected_window_end,selected_role,support_class,selection_reason,excluded_candidates,early_secondary_candidates,late_secondary_candidates,n_years_in_group,years_in_group,peak_source,detector_status
high,2,W160,Jw,CP001,166,156,168,late_or_catchup,unstable_window,system_relevant_first,CP002@149:unstable_window,,,15,1981;1988;1991;1996;2000;1997;2002;2009;1995;1982;1993;2015;2014;1987;1980,v7_detector_zero_bootstrap,ok
low,2,W160,P,CP004,165,165,165,within_system_window,unstable_window,system_relevant_first,CP001@134:unstable_window;CP002@153:unstable_window;CP003@144:unstable_window,CP001@134:unstable_window;CP003@144:unstable_window,,15,2022;2010;2007;2016;2013;2023;2018;2006;1985;2012;2020;2005;2019;2003;1979,v7_detector_zero_bootstrap,ok
low,2,W160,V,CP001,162,152,168,within_system_window,unstable_window,system_relevant_first,CP002@142:unstable_window;CP003@150:unstable_window,CP002@142:unstable_window,,15,2022;2010;2007;2016;2013;2023;2018;2006;1985;2012;2020;2005;2019;2003;1979,v7_detector_zero_bootstrap,ok
low,2,W160,H,CP001,157,147,167,within_system_window,unstable_window,system_relevant_first,CP002@140:unstable_window,CP002@140:unstable_window,,15,2022;2010;2007;2016;2013;2023;2018;2006;1985;2012;2020;2005;2019;2003;1979,v7_detector_zero_bootstrap,ok
low,2,W160,Je,CP001,165,155,168,within_system_window,unstable_window,system_relevant_first,CP002@142:unstable_window,CP002@142:unstable_window,,15,2022;2010;2007;2016;2013;2023;2018;2006;1985;2012;2020;2005;2019;2003;1979,v7_detector_zero_bootstrap,ok
low,2,W160,Jw,CP002,151,141,161,front_or_early,unstable_window,system_relevant_first,CP001@130:unstable_window,CP001@130:unstable_window,,15,2022;2010;2007;2016;2013;2023;2018;2006;1985;2012;2020;2005;2019;2003;1979,v7_detector_zero_bootstrap,ok
high,3,W160,P,CP002,159,149,168,within_system_window,unstable_window,system_relevant_first,CP001@154:unstable_window;CP003@138:unstable_window,CP003@138:unstable_window,,15,1998;1993;2023;1980;2016;2004;2015;2005;2007;1983;1999;2001;1989;2008;1988,v7_detector_zero_bootstrap,ok
high,3,W160,V,CP001,155,145,165,within_system_window,unstable_window,system_relevant_first,,,,15,1998;1993;2023;1980;2016;2004;2015;2005;2007;1983;1999;2001;1989;2008;1988,v7_detector_zero_bootstrap,ok
high,3,W160,H,CP002,160,150,168,within_system_window,unstable_window,system_relevant_first,CP001@134:unstable_window;CP003@167:unstable_window,CP001@134:unstable_window,,15,1998;1993;2023;1980;2016;2004;2015;2005;2007;1983;1999;2001;1989;2008;1988,v7_detector_zero_bootstrap,ok
high,3,W160,Je,CP001,166,156,168,late_or_catchup,unstable_window,system_relevant_first,CP002@137:unstable_window,CP002@137:unstable_window,,15,1998;1993;2023;1980;2016;2004;2015;2005;2007;1983;1999;2001;1989;2008;1988,v7_detector_zero_bootstrap,ok
high,3,W160,Jw,CP003,157,147,167,within_system_window,unstable_window,system_relevant_first,CP001@130:unstable_window;CP002@141:unstable_window;CP004@163:unstable_window,CP001@130:unstable_window;CP002@141:unstable_window,,15,1998;1993;2023;1980;2016;2004;2015;2005;2007;1983;1999;2001;1989;2008;1988,v7_detector_zero_bootstrap,ok
low,3,W160,P,CP003,161,151,168,within_system_window,unstable_window,system_relevant_first,CP001@135:unstable_window;CP002@166:unstable_window;CP004@155:unstable_window,CP001@135:unstable_window,,15,1995;1997;1994;2002;1990;2020;2009;2022;2011;2003;2012;1996;1992;2019;1987,v7_detector_zero_bootstrap,ok
low,3,W160,V,CP001,165,155,168,within_system_window,unstable_window,system_relevant_first,CP002@136:unstable_window;CP003@148:unstable_window,CP002@136:unstable_window,,15,1995;1997;1994;2002;1990;2020;2009;2022;2011;2003;2012;1996;1992;2019;1987,v7_detector_zero_bootstrap,ok
low,3,W160,H,CP001,156,146,166,within_system_window,unstable_window,system_relevant_first,CP002@136:unstable_window;CP003@147:unstable_window,CP002@136:unstable_window,,15,1995;1997;1994;2002;1990;2020;2009;2022;2011;2003;2012;1996;1992;2019;1987,v7_detector_zero_bootstrap,ok
low,3,W160,Je,CP001,161,151,168,within_system_window,unstable_window,system_relevant_first,CP002@140:unstable_window,CP002@140:unstable_window,,15,1995;1997;1994;2002;1990;2020;2009;2022;2011;2003;2012;1996;1992;2019;1987,v7_detector_zero_bootstrap,ok
low,3,W160,Jw,CP001,149,139,159,front_or_early,unstable_window,system_relevant_first,CP002@132:unstable_window,CP002@132:unstable_window,,15,1995;1997;1994;2002;1990;2020;2009;2022;2011;2003;2012;1996;1992;2019;1987,v7_detector_zero_bootstrap,ok
